Date,Open,High,Low,Close,Adj Close,Volume
2006-05-22,64.419998,65.419998,63.799999,65.300003,65.300003,11977700
2006-05-23,65.989998,67.160004,65.910004,66.379997,66.379997,10509700
2006-05-24,64.830002,65.160004,63.220001,64.059998,64.059998,11065600
2006-05-25,64.120003,64.760002,63.759998,64.699997,64.699997,6505400
2006-05-26,65.010002,65.099998,63.750000,65.099998,65.099998,5265900
2006-05-30,65.199997,66.239998,65.000000,65.110001,65.110001,8240200
2006-05-31,65.529999,65.589996,63.580002,64.230003,64.230003,7573300
2006-06-01,62.150002,62.970001,61.799999,62.560001,62.560001,11751400
2006-06-02,63.099998,63.590000,62.529999,63.500000,63.500000,6958900
2006-06-05,63.820000,64.190002,63.119999,63.290001,63.290001,6018600
2006-06-06,62.580002,62.669998,62.160000,62.549999,62.549999,7175100
2006-06-07,61.540001,62.849998,61.349998,62.279999,62.279999,10172700
2006-06-08,61.500000,61.529999,60.430000,60.910000,60.910000,14228500
2006-06-09,61.169998,61.380001,59.709999,60.450001,60.450001,7414800
2006-06-12,60.779999,60.840000,59.980000,60.029999,60.029999,4122500
2006-06-13,58.099998,58.650002,55.810001,55.919998,55.919998,26220600
2006-06-14,56.650002,56.910000,55.049999,55.619999,55.619999,12655100
2006-06-15,57.119999,57.619999,56.330002,57.320000,57.320000,11907900
2006-06-16,57.299999,57.930000,56.430000,57.680000,57.680000,7319400
2006-06-19,56.849998,57.250000,56.150002,56.360001,56.360001,5737400
2006-06-20,56.639999,57.480000,56.160000,57.299999,57.299999,11072400
2006-06-21,56.619999,58.770000,56.619999,58.330002,58.330002,6162100
2006-06-22,58.169998,58.610001,57.660000,57.730000,57.730000,5374800
2006-06-23,57.270000,58.299999,57.270000,57.990002,57.990002,6106700
2006-06-26,58.250000,58.330002,57.419998,58.279999,58.279999,3423700
2006-06-27,58.709999,59.259998,57.680000,57.680000,57.680000,6515900
2006-06-28,58.150002,58.189999,57.349998,57.540001,57.540001,2898900
2006-06-29,58.000000,59.779999,58.000000,59.520000,59.520000,10748500
2006-06-30,60.869999,61.349998,60.680000,61.230000,61.230000,7773800
2006-07-03,61.959999,62.369999,61.880001,62.180000,62.180000,3078500
2006-07-05,62.480000,62.630001,61.439999,62.500000,62.500000,8178400
2006-07-06,62.459999,63.200001,62.049999,63.020000,63.020000,5686600
2006-07-07,62.840000,63.049999,62.459999,62.630001,62.630001,5328700
2006-07-10,62.130001,62.500000,61.990002,62.020000,62.020000,3512000
2006-07-11,62.830002,63.980000,62.700001,63.810001,63.810001,5787000
2006-07-12,64.650002,65.190002,63.009998,64.919998,64.919998,9450300
2006-07-13,65.089996,65.680000,64.110001,65.550003,65.550003,12226800
2006-07-14,65.900002,66.419998,65.699997,65.849998,65.849998,10035800
2006-07-17,64.790001,65.220001,63.669998,63.950001,63.950001,9905000
2006-07-18,64.750000,64.750000,62.340000,62.900002,62.900002,7639300
2006-07-19,62.570000,64.239998,62.480000,64.029999,64.029999,7261300
2006-07-20,63.400002,63.970001,62.400002,62.540001,62.540001,6402700
2006-07-21,63.189999,63.250000,61.209999,61.709999,61.709999,6949300
2006-07-24,60.630001,61.230000,59.830002,61.139999,61.139999,7281000
2006-07-25,61.340000,61.599998,60.560001,61.549999,61.549999,4736800
2006-07-26,61.349998,62.360001,60.930000,62.000000,62.000000,3376000
2006-07-27,63.529999,63.610001,62.549999,62.900002,62.900002,4697300
2006-07-28,62.779999,63.340000,62.750000,63.110001,63.110001,3156400
2006-07-31,63.119999,63.349998,62.439999,63.160000,63.160000,3420200
